epoch,mean_loss,accuracy
0,0.6656487684678968,0.8855555555555555
1,0.2532581856664183,0.9766666666666667
2,0.09096110769406905,0.9933333333333333
3,0.055960031023176884,0.9855555555555555
4,0.05923986224588387,0.9933333333333333
5,0.04454292409015044,0.9833333333333333
6,0.03791141074231475,0.9822222222222222
7,0.029357631297576892,0.9888888888888889
8,0.03212607258033015,0.9855555555555555
9,0.03465831065674752,0.9922222222222222
10,0.02683545206985058,0.9888888888888889
11,0.027338354892331558,0.9933333333333333
12,0.0326496300860232,0.9455555555555556
13,0.03128069196059528,0.9922222222222222
14,0.027787423571605598,0.99
15,0.10172873882668805,0.9722222222222222
16,0.10352346743627881,0.9955555555555555
17,0.0270973579084592,0.9977777777777778
18,0.015867316139986896,0.99
19,0.01655630587028484,0.9888888888888889
20,0.01577090966817616,0.9977777777777778
21,0.018619355403693517,0.99
22,0.021400061459945257,0.9955555555555555
23,0.013584286546561665,0.9933333333333333
24,0.014943868871827153,0.9888888888888889
25,0.020428211461888675,0.9977777777777778
26,0.015071119425943235,0.9877777777777778
27,0.016119308055516788,0.9911111111111112
28,0.02270137441570856,0.9944444444444445
29,0.013589444010930984,0.9955555555555555
30,0.01926590244752969,0.9955555555555555
31,0.011018535372757828,0.9944444444444445
32,0.012750042642828873,0.9877777777777778
33,0.021871684410634782,0.9933333333333333
34,0.028200416264363197,0.9922222222222222
35,0.3186350558771582,0.9611111111111111
36,0.09071530142064445,0.99
37,0.025583318237482597,0.99
38,0.018797420701750084,0.9922222222222222
39,0.019368100162661342,0.9933333333333333
40,0.017265366131837392,0.9977777777777778
41,0.01399149644823153,0.9933333333333333
42,0.015761353784568253,0.9966666666666667
43,0.013323401227332561,0.9944444444444445
44,0.015836442043894436,0.9944444444444445
45,0.013333575535001928,0.9966666666666667
46,0.01907122686792735,0.9944444444444445
47,0.015783533328999684,0.9944444444444445
48,0.013663336862165296,0.9933333333333333
49,0.013177285332889905,0.9922222222222222
50,0.012158981053172953,0.9977777777777778
51,0.029728290792226903,0.9888888888888889
52,0.014487327327541917,0.9955555555555555
53,0.015470233589142934,0.9911111111111112
54,0.0169942090352364,0.9955555555555555
55,0.012763079729259804,0.9977777777777778
56,0.014623586899100222,0.9966666666666667
57,0.014789954165595705,0.9911111111111112
58,0.011980212454509786,0.9933333333333333
59,0.013282128102854463,0.9966666666666667
60,0.01666763955787319,0.9933333333333333
61,0.011415605829929995,0.9955555555555555
62,0.015102903896352219,0.9955555555555555
63,0.015986262206267168,0.9933333333333333
64,0.019350464901147543,0.9933333333333333
65,0.011231403798312377,0.9944444444444445
66,0.009760495066420745,0.9922222222222222
