regrowth,target_sparsity,achieved_sparsity,seed,final_accuracy
False,0.9,0.9000234962406015,0,0.9966666666666667
True,0.9,0.9000234962406015,0,0.8888888888888888
False,0.9,0.9000234962406015,1,0.9955555555555555
True,0.9,0.9000234962406015,1,0.9922222222222222
False,0.9,0.9000234962406015,2,0.9977777777777778
True,0.9,0.9000234962406015,2,0.9744444444444444
False,0.9,0.9000234962406015,3,0.9966666666666667
True,0.9,0.9000234962406015,3,0.8955555555555555
False,0.9,0.9000234962406015,4,0.9966666666666667
True,0.9,0.9000234962406015,4,0.9933333333333333
False,0.95,0.9500117481203008,0,0.9966666666666667
True,0.95,0.9500117481203008,0,0.9377777777777778
False,0.95,0.9500117481203008,1,0.9922222222222222
True,0.95,0.9500117481203008,1,0.9433333333333334
False,0.95,0.9500117481203008,2,0.9944444444444445
True,0.95,0.9500117481203008,2,0.6833333333333333
False,0.95,0.9500117481203008,3,0.9955555555555555
True,0.95,0.9500117481203008,3,0.9911111111111112
False,0.95,0.9500117481203008,4,0.9977777777777778
True,0.95,0.9500117481203008,4,0.9955555555555555
