step,sparsity,mean_loss,accuracy
29,0.0,0.833358888497003,0.5411111111111111
58,0.0,0.6557934358192439,0.5477777777777778
87,0.0,0.6108507606155628,0.6377777777777778
116,0.0,0.553927988102872,0.7666666666666667
145,0.0,0.46704267008506656,0.8666666666666667
174,0.0,0.39335712538651907,0.9433333333333334
203,0.0,0.2981295046218088,0.9733333333333334
232,0.0,0.2242042086424261,0.9733333333333334
261,0.0,0.18169813835896076,0.9833333333333333
290,0.0,0.13951186649903421,0.9833333333333333
319,0.0,0.11487342334504157,0.99
348,0.0,0.09463808636941716,0.9922222222222222
377,0.0,0.08039983869219203,0.9922222222222222
406,0.0,0.0706876574687431,0.9955555555555555
435,0.007636278195488733,0.07184634497641586,0.9944444444444445
464,0.015272556390977465,0.06082305152380738,0.9933333333333333
493,0.022908834586466198,0.05552182287860858,0.9966666666666667
522,0.03818139097744366,0.05052587915935987,0.9977777777777778
551,0.045817669172932285,0.048458170336114714,0.9966666666666667
580,0.05345394736842102,0.04512472879726351,0.9966666666666667
609,0.06109022556390975,0.04308899910669103,0.9977777777777778
638,0.06872650375939848,0.04133412006593054,0.9955555555555555
667,0.07636278195488722,0.0397243414467082,0.9955555555555555
696,0.08399906015037595,0.03894609423218258,0.9955555555555555
725,0.09163533834586468,0.03817215715660757,0.9933333333333333
754,0.09927161654135341,0.03524360594609364,0.9966666666666667
783,0.11454417293233088,0.03457324178723313,0.9933333333333333
812,0.11454417293233088,0.034458756479076084,0.9966666666666667
841,0.12981672932330823,0.032495888590206176,0.9944444444444445
870,0.13745300751879697,0.03143777093755133,0.9966666666666667
899,0.13745300751879697,0.03195454750447439,0.9977777777777778
928,0.15272556390977443,0.030411433401712453,0.9966666666666667
957,0.15272556390977443,0.029959877407893153,0.9966666666666667
986,0.1679981203007519,0.029840218123158423,0.9955555555555555
1015,0.1679981203007519,0.042000813761777424,0.9977777777777778
1044,0.18327067669172936,0.02807916085153117,0.9977777777777778
1073,0.18327067669172936,0.027105005952317535,0.9977777777777778
1102,0.19854323308270672,0.027678456139533007,0.9966666666666667
1131,0.19854323308270672,0.02705863906338114,0.9955555555555555
1160,0.21381578947368418,0.02746965995662155,0.9977777777777778
1189,0.21381578947368418,0.028962861390591794,0.9977777777777778
1218,0.22145206766917291,0.02667003237415185,0.9977777777777778
1247,0.22908834586466165,0.025219467153074146,0.9977777777777778
1276,0.23672462406015038,0.025105034453826832,0.9966666666666667
1305,0.2443609022556391,0.024078202894500154,0.9955555555555555
1334,0.25199718045112784,0.025189921275746322,0.9966666666666667
1363,0.2596334586466166,0.024109267377575398,0.9977777777777778
1392,0.2596334586466166,0.025964952098277202,0.9966666666666667
1421,0.27490601503759393,0.026063443008311166,0.9966666666666667
1450,0.27490601503759393,0.025165684657238292,0.9966666666666667
1479,0.28254229323308266,0.0230138052629822,0.9977777777777778
1508,0.2901785714285714,0.02380312238922775,0.9955555555555555
1537,0.29781484962406013,0.022850919741810142,0.9977777777777778
1566,0.30545112781954886,0.02250984203139985,0.9977777777777778
1595,0.30545112781954886,0.023476902697075513,0.9966666666666667
1624,0.3130874060150376,0.023179887205185698,0.9977777777777778
1653,0.3207236842105263,0.021595021294386584,0.9977777777777778
1682,0.32835996240601506,0.021163817245056386,0.9977777777777778
1711,0.32835996240601506,0.021294664680124174,0.9966666666666667
1740,0.3359962406015038,0.02007404516758936,0.9977777777777778
1769,0.3436325187969925,0.020391843178357766,0.9955555555555555
1798,0.3436325187969925,0.01934032327703095,0.9977777777777778
1827,0.35126879699248126,0.01969089154694544,0.9977777777777778
1856,0.3589050751879699,0.021092037064121848,0.9977777777777778
1885,0.3665413533834586,0.019692450825777818,0.9977777777777778
1914,0.3665413533834586,0.01880651542137991,0.9966666666666667
1943,0.37417763157894735,0.019621450678834442,0.9977777777777778
1972,0.3818139097744361,0.01991094333392122,0.9966666666666667
2001,0.3894501879699248,0.018664745838130166,0.9977777777777778
2030,0.3894501879699248,0.018193232792524782,0.9966666666666667
2059,0.39708646616541354,0.01903097047500956,0.9977777777777778
2088,0.4047227443609023,0.020054612359832767,0.9977777777777778
2117,0.4047227443609023,0.018139301969108776,0.9966666666666667
2146,0.412359022556391,0.018369722039565477,0.9966666666666667
2175,0.412359022556391,0.017753428346260775,0.9977777777777778
2204,0.41999530075187974,0.01768300099732341,0.9977777777777778
2233,0.4276315789473685,0.019903627192337146,0.9966666666666667
2262,0.4352678571428571,0.01852560944450108,0.9955555555555555
2291,0.4352678571428571,0.01950224554215481,0.9966666666666667
2320,0.44290413533834583,0.01782983987113688,0.9977777777777778
2349,0.44290413533834583,0.01777821414638959,0.9966666666666667
2378,0.45054041353383456,0.01741487791470692,0.9977777777777778
2407,0.4581766917293233,0.016943643589962754,0.9966666666666667
2436,0.4581766917293233,0.01799210781772571,0.9977777777777778
2465,0.465812969924812,0.017667194207442265,0.9977777777777778
2494,0.465812969924812,0.017319249488498688,0.9977777777777778
2523,0.47344924812030076,0.016527123412743757,0.9966666666666667
2552,0.47344924812030076,0.016401237461039306,0.9977777777777778
2581,0.4810855263157895,0.017718381697090654,0.9977777777777778
2610,0.4810855263157895,0.016344953319331678,0.9977777777777778
2639,0.4887218045112782,0.01878837937699571,0.9977777777777778
2668,0.4887218045112782,0.017595293127581266,0.9955555555555555
2697,0.49635808270676696,0.01753984340788447,0.9977777777777778
2726,0.49635808270676696,0.017123229397777315,0.9977777777777778
2755,0.5039943609022557,0.017548568839652983,0.9977777777777778
2784,0.5039943609022557,0.016647787286353546,0.9977777777777778
2813,0.5116306390977443,0.018099265023184267,0.9977777777777778
2842,0.5116306390977443,0.016991766728939345,0.9977777777777778
2871,0.5192669172932332,0.016059413878130528,0.9977777777777778
2900,0.5192669172932332,0.017758143742055595,0.9977777777777778
2929,0.5269031954887218,0.015237540310964429,0.9977777777777778
2958,0.5269031954887218,0.01574799381796182,0.9977777777777778
2987,0.5345394736842105,0.01625972005639897,0.9977777777777778
3016,0.5345394736842105,0.0155861797784093,0.9977777777777778
3045,0.5345394736842105,0.014890563534762525,0.9977777777777778
3074,0.5421757518796992,0.016483387713116436,0.9977777777777778
