method,target_sparsity,mean_achieved_sparsity,mean_accuracy,std_accuracy,n_seeds
structured,0.5,0.48872180451127817,0.9975555555555555,0.00044444444444442506,5
structured,0.7,0.6872650375939849,0.9971111111111112,0.000888888888888889,5
structured,0.85,0.8323543233082706,0.9975555555555555,0.00044444444444442506,5
unstructured,0.5,0.5,0.9975555555555555,0.00044444444444442506,5
unstructured,0.7,0.7000117481203008,0.9973333333333333,0.0005443310539517937,5
unstructured,0.85,0.8499765037593985,0.9973333333333334,0.0005443310539517937,5
