step,sparsity,mean_loss,accuracy
29,0.0,0.6656487684678968,0.8855555555555555
58,0.0,0.2532581856664183,0.9766666666666667
87,0.0,0.09096110769406905,0.9933333333333333
116,0.0,0.055960031023176884,0.9855555555555555
145,0.0,0.05923986224588387,0.9933333333333333
174,0.0,0.04454292409015044,0.9833333333333333
203,0.0,0.03791141074231475,0.9822222222222222
232,0.0,0.029357631297576892,0.9888888888888889
261,0.0,0.03212607258033015,0.9855555555555555
290,0.0,0.03465831065674752,0.9922222222222222
319,0.0,0.02683545206985058,0.9888888888888889
348,0.0,0.027338354892331558,0.9933333333333333
377,0.0,0.0326496300860232,0.9455555555555556
406,0.0,0.03128069196059528,0.9922222222222222
435,0.008164943609022535,0.02777647395831832,0.99
464,0.024436090225563922,0.1018970304285607,0.9622222222222222
493,0.03248355263157898,0.11856944976345772,0.9944444444444445
522,0.04846099624060152,0.04573216558921366,0.9855555555555555
551,0.05639097744360899,0.01863968843783353,0.9866666666666667
580,0.07207471804511278,0.018097204084482947,0.9877777777777778
609,0.07982847744360899,0.016443311051530914,0.9977777777777778
638,0.08752349624060152,0.01973070021920726,0.99
667,0.10279605263157898,0.022500913280571667,0.9944444444444445
696,0.11037359022556392,0.014207616751265141,0.9933333333333333
725,0.12535244360902253,0.015591844483873534,0.9888888888888889
754,0.1328125,0.019731507253073037,0.9966666666666667
783,0.14755639097744366,0.016549646671645015,0.9855555555555555
812,0.15478148496240607,0.01695164559959965,0.9911111111111112
841,0.16923167293233088,0.024939046369135312,0.9955555555555555
870,0.1763980263157895,0.013444714845589133,0.9955555555555555
899,0.18344689849624063,0.019803590441700734,0.9955555555555555
928,0.1975446428571429,0.02921117415380595,0.9877777777777778
957,0.20447603383458646,0.04372992118515732,0.9711111111111111
986,0.21828007518796988,0.046650739920225344,0.9877777777777778
1015,0.22503524436090228,0.027623884702333273,0.9911111111111112
1044,0.23854558270676696,0.10127066163899066,0.9888888888888889
1073,0.24524201127819545,0.018520893317581135,0.9977777777777778
1102,0.2584586466165414,0.01519338727521716,0.9944444444444445
1131,0.2650375939849624,0.014600016180273527,0.9944444444444445
1160,0.2779605263157895,0.017219585975887214,0.9922222222222222
1189,0.28436325187969924,0.013654682123668686,0.9977777777777778
1218,0.290765977443609,0.011196621282309114,0.9944444444444445
1247,0.30333646616541354,0.013988355490500254,0.9966666666666667
1276,0.309562969924812,0.012191973351388531,0.9955555555555555
1305,0.3219572368421053,0.014775928229268518,0.9955555555555555
1334,0.3280662593984962,0.011664157498303894,0.9977777777777778
1363,0.34016682330827064,0.01921868410688014,0.9944444444444445
1392,0.3460996240601504,0.013906731778721333,0.9944444444444445
1421,0.35790648496240607,0.012757755307047536,0.9944444444444445
1450,0.3637805451127819,0.012969518095886288,0.9922222222222222
1479,0.36959586466165417,0.011139062881633,0.9977777777777778
1508,0.3810502819548872,0.029682159657239443,0.9877777777777778
1537,0.3868068609022557,0.015598614310743416,0.9955555555555555
1566,0.3980263157894737,0.016674478296512345,0.9811111111111112
1595,0.4035479323308271,0.01776580080187267,0.9955555555555555
1624,0.4145324248120301,0.018571817264141262,0.9955555555555555
1653,0.41999530075187974,0.01830698214356468,0.9944444444444445
1682,0.4306860902255639,0.018181505902125777,0.99
1711,0.43603148496240607,0.012425033318062995,0.9944444444444445
1740,0.4464873120300752,0.012859173330086503,0.9966666666666667
1769,0.45171522556390975,0.016056124931407175,0.9933333333333333
1798,0.45688439849624063,0.011637089173604393,0.9955555555555555
1827,0.467046522556391,0.025549307255548423,0.9944444444444445
1856,0.4720982142857143,0.01905849957977989,0.9922222222222222
1885,0.4820253759398496,0.020115794450168683,0.9911111111111112
1914,0.4870183270676691,0.012409303011420863,0.9933333333333333
1943,0.4967105263157895,0.010355762808273883,0.9911111111111112
1972,0.5014685150375939,0.014024517468145774,0.9544444444444444
2001,0.510984492481203,0.13494969633241538,0.9788888888888889
2030,0.5156837406015038,0.1096144210779243,0.9855555555555555
2059,0.5203242481203008,0.021939069509024828,0.9888888888888889
2088,0.5294877819548872,0.017016953780101204,0.9922222222222222
2117,0.5340695488721805,0.01588191401385385,0.9933333333333333
2146,0.5429981203007519,0.014108069401780011,0.9966666666666667
2175,0.5474036654135339,0.014491675318859688,0.9922222222222222
2204,0.5561560150375939,0.01674498311705746,0.9955555555555555
2233,0.5604440789473684,0.026530507904394436,0.9911111111111112
2262,0.5690202067669172,0.017635405290239315,0.9955555555555555
2291,0.5731907894736843,0.017386991333990798,0.9955555555555555
2320,0.581531954887218,0.01357574326262407,0.9911111111111112
2349,0.5856437969924813,0.011482262326697319,0.9944444444444445
2378,0.5896381578947368,0.013238995624301825,0.9977777777777778
2407,0.5977443609022557,0.018905499619896297,0.9966666666666667
2436,0.6016799812030076,0.02417732507531484,0.9888888888888889
2465,0.6094924812030076,0.02332862656728468,0.9933333333333333
2494,0.6133693609022557,0.014419845628716128,0.9966666666666667
2523,0.6209468984962406,0.010177608293114032,0.9966666666666667
2552,0.6247062969924813,0.009949804394994525,0.9911111111111112
2581,0.6321663533834587,0.013667930363467496,0.99
2610,0.635749530075188,0.022164151439155903,0.9966666666666667
2639,0.6394501879699248,0.01574962591948162,0.9911111111111112
2668,0.6465578007518797,0.017672310901091094,0.9922222222222222
2697,0.6500234962406015,0.015085819438364992,0.9955555555555555
2726,0.6569548872180451,0.01194156074406234,0.9933333333333333
2755,0.6604205827067668,0.011991692736855587,0.9922222222222222
2784,0.6671757518796992,0.014774445624574957,0.9966666666666667
2813,0.6704652255639098,0.012879031024053784,0.9955555555555555
2842,0.6770441729323309,0.011937957651146771,0.9977777777777778
2871,0.6802749060150376,0.009453751399612438,0.9966666666666667
2900,0.6866776315789473,0.012760648691328336,0.9944444444444445
2929,0.6897908834586466,0.01481961880201108,0.9944444444444445
2958,0.692845394736842,0.013081404704000528,0.9955555555555555
2987,0.6990131578947368,0.011897019722489738,0.9977777777777778
3016,0.7020676691729324,0.010245380035144776,0.9944444444444445
3045,0.7079417293233083,0.01020995348368606,0.9966666666666667
3074,0.7108787593984962,0.009777119084892247,0.9944444444444445
3103,0.7166353383458647,0.014824362205802504,0.9933333333333333
3132,0.7194548872180451,0.021057301706588087,0.9955555555555555
3161,0.7250352443609023,0.03679961464208371,0.99
3190,0.7277373120300752,0.07500445930814341,0.9833333333333333
3219,0.7305568609022557,0.05022219843288816,0.9877777777777778
3248,0.7359022556390977,0.04845682080944777,0.9977777777777778
3277,0.7385455827067668,0.025541898115027238,0.99
3306,0.7437147556390977,0.015486916855293248,0.9966666666666667
3335,0.7462406015037594,0.011636968548791477,0.9955555555555555
3364,0.751233552631579,0.011748306706735198,0.9966666666666667
3393,0.7537006578947368,0.029777936012435988,0.9833333333333333
3422,0.7585173872180451,0.03664163182778349,0.9966666666666667
3451,0.7609257518796992,0.02516634253594871,0.9944444444444445
3480,0.765625,0.019846045763789757,0.9966666666666667
3509,0.7679746240601504,0.02016756944338789,0.9944444444444445
3538,0.7702067669172932,0.011017270844751442,0.9977777777777778
3567,0.774671052631579,0.011643271001100748,0.9977777777777778
3596,0.7769031954887218,0.010385483173063273,0.9966666666666667
3625,0.7811912593984962,0.013211988781612016,0.9955555555555555
3654,0.7833646616541353,0.01341728815019024,0.9911111111111112
3683,0.7874765037593985,0.030056105504846026,0.9966666666666667
3712,0.7895324248120301,0.010877089081493709,0.9911111111111112
3741,0.7935855263157895,0.013962254316863352,0.9944444444444445
3770,0.7955239661654135,0.01741339246375359,0.9933333333333333
3799,0.7974624060150376,0.011139352140071042,0.9966666666666667
3828,0.801280545112782,0.031399767078152264,0.9911111111111112
3857,0.8031602443609023,0.01683453030926937,0.9955555555555555
3886,0.8068609022556391,0.01060094262310285,0.9977777777777778
3915,0.8086818609022557,0.010207037764035242,0.9955555555555555
3944,0.8122062969924813,0.01833652314194735,0.9977777777777778
3973,0.8139097744360902,0.012256079570551456,0.9944444444444445
4002,0.8173167293233082,0.016864827189031803,0.9944444444444445
4031,0.8189614661654135,0.014171222511634036,0.9933333333333333
4060,0.822250939849624,0.01718130174789175,0.9977777777777778
4089,0.8238369360902256,0.010887834334396971,0.9922222222222222
4118,0.8254229323308271,0.01593282572837219,0.9933333333333333
4147,0.8284774436090225,0.01667900786274416,0.9944444444444445
4176,0.8300046992481203,0.011758218814648409,0.9933333333333333
4205,0.8329417293233082,0.014595953861868911,0.9966666666666667
4234,0.8344102443609023,0.018142286549995598,0.9966666666666667
4263,0.8372297932330828,0.010399014451165844,0.9955555555555555
4292,0.8386395676691729,0.016364598489833314,0.9955555555555555
4321,0.8413416353383458,0.02125315457198891,0.9933333333333333
4350,0.8426926691729324,0.014640949040596431,0.9955555555555555
4379,0.8439849624060151,0.011473684116366775,0.9977777777777778
4408,0.8465108082706767,0.012239002162232823,0.9955555555555555
4437,0.8478031015037594,0.011954583482096937,0.9966666666666667
4466,0.8501527255639098,0.010415121049159561,0.9966666666666667
4495,0.8513862781954887,0.01009647422418082,0.9855555555555555
4524,0.8537359022556391,0.018619094401151167,0.9955555555555555
4553,0.8547932330827068,0.017817521266729662,0.9955555555555555
4582,0.8569666353383458,0.010478718805676655,0.9944444444444445
4611,0.858141447368421,0.013705621359617932,0.9966666666666667
4640,0.8601386278195489,0.01916606341538816,0.9966666666666667
4669,0.8611959586466166,0.010188045601835434,0.9977777777777778
4698,0.8622532894736842,0.01071322309651482,0.9922222222222222
4727,0.8641917293233082,0.009799192336604978,0.9977777777777778
4756,0.8650728383458647,0.008631388920280817,0.9966666666666667
4785,0.8669525375939849,0.009459264049282576,0.9966666666666667
4814,0.8678336466165414,0.010006488469479725,0.9944444444444445
4843,0.8696546052631579,0.022079076870256887,0.9855555555555555
4872,0.8704769736842105,0.04933792395520764,0.9944444444444445
4901,0.8721217105263158,0.021870682154580524,0.9977777777777778
4930,0.8728853383458647,0.014148147493951395,0.9966666666666667
4959,0.873766447368421,0.016812426592075543,0.9944444444444445
4988,0.8752349624060151,0.03248448475113588,0.9888888888888889
5017,0.8759398496240601,0.015039488379475148,0.9966666666666667
5046,0.8774671052631579,0.009195424387663175,0.9955555555555555
5075,0.8781132518796992,0.012565094808656955,0.9944444444444445
5104,0.8794642857142857,0.02139780928516666,0.9922222222222222
5133,0.8801104323308271,0.017194827675082833,0.9977777777777778
5162,0.8814027255639098,0.02411459252540597,0.9977777777777778
5191,0.8820488721804511,0.02471346021407247,0.9966666666666667
5220,0.8831649436090225,0.016774551738854008,0.9977777777777778
5249,0.8837523496240601,0.05289999167354167,0.9833333333333333
5278,0.8843397556390977,0.04004859841933412,0.9944444444444445
5307,0.8854558270676691,0.012485846899612872,0.9977777777777778
5336,0.8859257518796992,0.012163163616251135,0.9966666666666667
5365,0.886983082706767,0.025143362955344313,0.9955555555555555
5394,0.887453007518797,0.057247120132307566,0.9922222222222222
5423,0.8883341165413534,0.01718137398336383,0.9966666666666667
5452,0.8888040413533834,0.015825567283306398,0.9944444444444445
5481,0.8896851503759399,0.014808398771047646,0.9966666666666667
5510,0.8900963345864662,0.009923289847321826,0.9977777777777778
5539,0.8905075187969925,0.013053733727654485,0.9966666666666667
5568,0.8912124060150376,0.011842654115417706,0.9966666666666667
5597,0.8915648496240601,0.012439580598407371,0.9966666666666667
5626,0.892328477443609,0.010838229592783884,0.9933333333333333
5655,0.8926809210526316,0.010821708479378406,0.9933333333333333
5684,0.8933270676691729,0.011560331306713799,0.9977777777777778
5713,0.8936207706766918,0.009456814944712623,0.9977777777777778
5742,0.8942081766917294,0.0155184223893932,0.9966666666666667
5771,0.8944431390977443,0.009406136888101066,0.9966666666666667
5800,0.895030545112782,0.012635118206063055,0.9977777777777778
5829,0.895265507518797,0.0102845417689993,0.9966666666666667
5858,0.895500469924812,0.008154906938079276,0.9977777777777778
5887,0.8959703947368421,0.009504985831162303,0.9955555555555555
5916,0.8961466165413534,0.010320596183563475,0.9977777777777778
5945,0.8966165413533834,0.013406615740008933,0.9966666666666667
5974,0.8967927631578947,0.008105925775174576,0.9977777777777778
6003,0.897203947368421,0.010204327067451047,0.9944444444444445
6032,0.8973801691729323,0.013440247981490225,0.9966666666666667
6061,0.8977326127819549,0.011967055728806339,0.9944444444444445
6090,0.8978500939849624,0.012690500864888418,0.9955555555555555
6119,0.8979675751879699,0.014840242675532316,0.9955555555555555
6148,0.8982612781954887,0.010347996844711401,0.9977777777777778
6177,0.8983787593984962,0.009272249892542262,0.9966666666666667
6206,0.8986137218045113,0.008439854978580946,0.9977777777777778
6235,0.8986724624060151,0.009937705526117502,0.9966666666666667
6264,0.8989074248120301,0.01033214405484522,0.9966666666666667
6293,0.8989661654135338,0.013717599286564821,0.9944444444444445
6322,0.8991423872180451,0.01183230483765668,0.9977777777777778
6351,0.8992011278195489,0.008115008814299834,0.9944444444444445
6380,0.8993186090225564,0.014911719091884745,0.9955555555555555
6409,0.8993773496240601,0.011569691315425306,0.9966666666666667
6438,0.8994360902255639,0.008538388937219943,0.9977777777777778
6467,0.8995535714285714,0.008931407627164474,0.9977777777777778
6496,0.8996123120300752,0.007901385586748359,0.9966666666666667
6525,0.899671052631579,0.010227733145526784,0.9977777777777778
6554,0.8997885338345865,0.011319469016612843,0.9966666666666667
6583,0.8998472744360902,0.010389289467635721,0.9966666666666667
6612,0.8998472744360902,0.008829284140382497,0.9977777777777778
6641,0.8999060150375939,0.007675729295207344,0.9977777777777778
6670,0.8999060150375939,0.012543238511943998,0.9922222222222222
6699,0.8999060150375939,0.021226873564745417,0.9922222222222222
6728,0.8999647556390977,0.008211712669525093,0.9966666666666667
6757,0.8999647556390977,0.007731248623903113,0.9966666666666667
6786,0.8999647556390977,0.009414855645971481,0.9977777777777778
6815,0.8999647556390977,0.008719509255121162,0.9966666666666667
6844,0.9000234962406015,0.009847135363588451,0.9955555555555555
6873,0.9000234962406015,0.011090191600245379,0.9977777777777778
6902,0.9000234962406015,0.009749779900773324,0.9955555555555555
6931,0.9000234962406015,0.009519460579525924,0.9977777777777778
6960,0.9000234962406015,0.007911493966670662,0.9977777777777778
6989,0.9000234962406015,0.009086012002413253,0.9977777777777778
7018,0.9000234962406015,0.007305355355312645,0.9966666666666667
7047,0.9000234962406015,0.010621698655292451,0.9977777777777778
7076,0.9000234962406015,0.0068913179787667206,0.9977777777777778
7105,0.9000234962406015,0.009361050069604783,0.9966666666666667
7134,0.9000234962406015,0.007527102704719525,0.9977777777777778
7163,0.9000234962406015,0.00763948769040809,0.9966666666666667
7192,0.9000234962406015,0.008559286174554663,0.9944444444444445
7221,0.9000234962406015,0.010413997517676226,0.9977777777777778
7250,0.9000234962406015,0.008702816019753735,0.9966666666666667
7279,0.9000234962406015,0.008546333894057762,0.9977777777777778
7308,0.9000234962406015,0.008705311646907889,0.9966666666666667
7337,0.9000234962406015,0.00911244718456418,0.9966666666666667
7366,0.9000234962406015,0.018150031385298953,0.9977777777777778
7395,0.9000234962406015,0.04834551652254514,0.9944444444444445
7424,0.9000234962406015,0.019736149865127738,0.97
